,DN,nome,ano,area,classificação
0,0,Antas,2008,1630982.0,Não-Contabilizado
1,0,Antas,2021,3808273.0,Não-Contabilizado
2,0,Araguari,2008,621084332.0,Não-Contabilizado
3,0,Araguari,2021,621084332.0,Não-Contabilizado
4,0,Capivari,2008,115980.0,Não-Contabilizado
5,0,Capivari,2021,130573.0,Não-Contabilizado
6,0,Correntes,2008,23047.0,Não-Contabilizado
7,0,Correntes,2021,23047.0,Não-Contabilizado
8,0,Curruá Una,2008,221413.0,Não-Contabilizado
9,0,Curruá Una,2021,221413.0,Não-Contabilizado
10,0,Doce,2008,20287976.0,Não-Contabilizado
11,0,Doce,2021,21507951.0,Não-Contabilizado
12,0,Grande,2008,24590878.0,Não-Contabilizado
13,0,Grande,2021,26598147.0,Não-Contabilizado
14,0,Iguaçu,2008,10221608.0,Não-Contabilizado
15,0,Iguaçu,2021,12465946.0,Não-Contabilizado
16,0,Itabapoana,2008,290756.0,Não-Contabilizado
17,0,Itabapoana,2021,177821.0,Não-Contabilizado
18,0,Itajaí-Açú,2008,30306.0,Não-Contabilizado
19,0,Itajaí-Açú,2021,57406.0,Não-Contabilizado
20,0,Itiquira,2008,9404.0,Não-Contabilizado
21,0,Itiquira,2021,5359274.0,Não-Contabilizado
22,0,Jacuí,2008,5217008.0,Não-Contabilizado
23,0,Jacuí,2021,5359274.0,Não-Contabilizado
24,0,Jari,2008,36136098.0,Não-Contabilizado
25,0,Jari,2021,36136098.0,Não-Contabilizado
26,0,Jauru,2008,1126132178.0,Não-Contabilizado
27,0,Jauru,2021,1126130450.0,Não-Contabilizado
28,0,Jequitinhonha,2008,6481722.0,Não-Contabilizado
29,0,Jequitinhonha,2021,7496289.0,Não-Contabilizado
30,0,Madeira,2008,909174423.0,Não-Contabilizado
31,0,Madeira,2021,906273403.0,Não-Contabilizado
32,0,Manso,2008,2818436.0,Não-Contabilizado
33,0,Manso,2021,2818436.0,Não-Contabilizado
34,0,Mucuri,2008,401784.0,Não-Contabilizado
35,0,Mucuri,2021,537379.0,Não-Contabilizado
36,0,Paraguaçu,2008,3751935.0,Não-Contabilizado
37,0,Paraguaçu,2021,5136901.0,Não-Contabilizado
38,0,Paranapanema,2008,29081604.0,Não-Contabilizado
39,0,Paranapanema,2021,39121143.0,Não-Contabilizado
40,0,Paranaíba,2008,15767345.0,Não-Contabilizado
41,0,Paranaíba,2021,15767345.0,Não-Contabilizado
42,0,Paraná,2008,787733898.0,Não-Contabilizado
43,0,Paraná,2021,806183528.0,Não-Contabilizado
44,0,Paraíba do Sul,2008,38523248.0,Não-Contabilizado
45,0,Paraíba do Sul,2021,39071329.0,Não-Contabilizado
46,0,Parnaíba,2008,49691791.0,Não-Contabilizado
47,0,Parnaíba,2021,49694470.0,Não-Contabilizado
48,0,São Francisco,2008,347132473.0,Não-Contabilizado
49,0,São Francisco,2021,347709213.0,Não-Contabilizado
50,0,Tapajós,2008,569227855.0,Não-Contabilizado
51,0,Tapajós,2021,569186385.0,Não-Contabilizado
52,0,Tietê,2008,6481722.0,Não-Contabilizado
53,0,Tietê,2021,26568648.0,Não-Contabilizado
54,0,Tocantins,2008,810698181.0,Não-Contabilizado
55,0,Tocantins,2021,907900633.0,Não-Contabilizado
56,0,Uatuamã,2008,810698181.0,Não-Contabilizado
57,0,Uatuamã,2021,810691923.0,Não-Contabilizado
58,0,Uruguai,2008,29323931.0,Não-Contabilizado
59,0,Uruguai,2021,33378439.0,Não-Contabilizado
60,0,Xingú,2008,2116021566.0,Não-Contabilizado
61,0,Xingú,2021,2115981916.0,Não-Contabilizado
62,3,Antas,2008,69528633.0,Não-Antrópico
63,3,Antas,2021,68495721.0,Não-Antrópico
64,3,Araguari,2008,48727963.0,Não-Antrópico
65,3,Araguari,2021,59030307.0,Não-Antrópico
66,3,Capivari,2008,6767051.0,Não-Antrópico
67,3,Capivari,2021,7786080.0,Não-Antrópico
68,3,Correntes,2008,1250247.0,Não-Antrópico
69,3,Correntes,2021,1439692.0,Não-Antrópico
70,3,Curruá Una,2008,14801753.0,Não-Antrópico
71,3,Curruá Una,2021,18781167.0,Não-Antrópico
72,3,Doce,2008,123174783.0,Não-Antrópico
73,3,Doce,2021,163039172.0,Não-Antrópico
74,3,Grande,2008,162017219.0,Não-Antrópico
75,3,Grande,2021,237014643.0,Não-Antrópico
76,3,Iguaçu,2008,335940258.0,Não-Antrópico
77,3,Iguaçu,2021,379503489.0,Não-Antrópico
78,3,Itabapoana,2008,10926990.0,Não-Antrópico
79,3,Itabapoana,2021,4805489.0,Não-Antrópico
80,3,Itajaí-Açú,2008,5434602.0,Não-Antrópico
81,3,Itajaí-Açú,2021,5797160.0,Não-Antrópico
82,3,Itiquira,2008,3908562.0,Não-Antrópico
83,3,Itiquira,2021,45066429.0,Não-Antrópico
84,3,Jacuí,2008,44554742.0,Não-Antrópico
85,3,Jacuí,2021,45066429.0,Não-Antrópico
86,3,Jari,2008,123353559.0,Não-Antrópico
87,3,Jari,2021,136043402.0,Não-Antrópico
88,3,Jauru,2008,923903.0,Não-Antrópico
89,3,Jauru,2021,2104304.0,Não-Antrópico
90,3,Jequitinhonha,2008,34478051.0,Não-Antrópico
91,3,Jequitinhonha,2021,45021339.0,Não-Antrópico
92,3,Madeira,2008,2979254070.0,Não-Antrópico
93,3,Madeira,2021,2733861861.0,Não-Antrópico
94,3,Manso,2008,15680640.0,Não-Antrópico
95,3,Manso,2021,20431867.0,Não-Antrópico
96,3,Mucuri,2008,15641366.0,Não-Antrópico
97,3,Mucuri,2021,24308511.0,Não-Antrópico
98,3,Paraguaçu,2008,13554216.0,Não-Antrópico
99,3,Paraguaçu,2021,28803179.0,Não-Antrópico
100,3,Paranapanema,2008,199233811.0,Não-Antrópico
101,3,Paranapanema,2021,229021266.0,Não-Antrópico
102,3,Paranaíba,2008,306594319.0,Não-Antrópico
103,3,Paranaíba,2021,242987320.0,Não-Antrópico
104,3,Paraná,2008,546158479.0,Não-Antrópico
105,3,Paraná,2021,616352581.0,Não-Antrópico
106,3,Paraíba do Sul,2008,91463980.0,Não-Antrópico
107,3,Paraíba do Sul,2021,130053581.0,Não-Antrópico
108,3,Parnaíba,2008,72299872.0,Não-Antrópico
109,3,Parnaíba,2021,81656455.0,Não-Antrópico
110,3,São Francisco,2008,257339560.0,Não-Antrópico
111,3,São Francisco,2021,297029941.0,Não-Antrópico
112,3,Tapajós,2008,1866483289.0,Não-Antrópico
113,3,Tapajós,2021,1501139813.0,Não-Antrópico
114,3,Tietê,2008,34478051.0,Não-Antrópico
115,3,Tietê,2021,178716321.0,Não-Antrópico
116,3,Tocantins,2008,431665026.0,Não-Antrópico
117,3,Tocantins,2021,1765327049.0,Não-Antrópico
118,3,Uatuamã,2008,431665026.0,Não-Antrópico
119,3,Uatuamã,2021,496247256.0,Não-Antrópico
120,3,Uruguai,2008,711634762.0,Não-Antrópico
121,3,Uruguai,2021,734092646.0,Não-Antrópico
122,3,Xingú,2008,1606792994.0,Não-Antrópico
123,3,Xingú,2021,1531367363.0,Não-Antrópico
124,4,Araguari,2008,31287.0,Não-Antrópico
125,4,Araguari,2021,54528.0,Não-Antrópico
126,4,Correntes,2008,4719530.0,Não-Antrópico
127,4,Correntes,2021,4838984.0,Não-Antrópico
128,4,Curruá Una,2008,1784.0,Não-Antrópico
129,4,Curruá Una,2021,18745.0,Não-Antrópico
130,4,Doce,2008,3070550.0,Não-Antrópico
131,4,Doce,2021,3131290.0,Não-Antrópico
132,4,Grande,2008,11178112.0,Não-Antrópico
133,4,Grande,2021,13593265.0,Não-Antrópico
134,4,Itabapoana,2021,836.0,Não-Antrópico
135,4,Itiquira,2008,2179647.0,Não-Antrópico
136,4,Jari,2008,20560.0,Não-Antrópico
137,4,Jari,2021,45593.0,Não-Antrópico
138,4,Jauru,2008,624843.0,Não-Antrópico
139,4,Jauru,2021,670742.0,Não-Antrópico
140,4,Jequitinhonha,2008,64797754.0,Não-Antrópico
141,4,Jequitinhonha,2021,62865030.0,Não-Antrópico
142,4,Madeira,2008,70180392.0,Não-Antrópico
143,4,Madeira,2021,23852714.0,Não-Antrópico
144,4,Manso,2008,14652992.0,Não-Antrópico
145,4,Manso,2021,24876741.0,Não-Antrópico
146,4,Mucuri,2008,185297.0,Não-Antrópico
147,4,Mucuri,2021,83685.0,Não-Antrópico
148,4,Paraguaçu,2008,33895801.0,Não-Antrópico
149,4,Paraguaçu,2021,44795464.0,Não-Antrópico
150,4,Paranapanema,2008,243665.0,Não-Antrópico
151,4,Paranapanema,2021,221656.0,Não-Antrópico
152,4,Paranaíba,2008,114863385.0,Não-Antrópico
153,4,Paranaíba,2021,67168765.0,Não-Antrópico
154,4,Paraná,2008,21294229.0,Não-Antrópico
155,4,Paraná,2021,16056055.0,Não-Antrópico
156,4,Paraíba do Sul,2008,831.0,Não-Antrópico
157,4,Paraíba do Sul,2021,4163.0,Não-Antrópico
158,4,Parnaíba,2008,318270199.0,Não-Antrópico
159,4,Parnaíba,2021,315295287.0,Não-Antrópico
160,4,São Francisco,2008,511382762.0,Não-Antrópico
161,4,São Francisco,2021,512650110.0,Não-Antrópico
162,4,Tapajós,2008,54987499.0,Não-Antrópico
163,4,Tapajós,2021,52370721.0,Não-Antrópico
164,4,Tietê,2008,64797754.0,Não-Antrópico
165,4,Tietê,2021,317581.0,Não-Antrópico
166,4,Tocantins,2021,903881335.0,Não-Antrópico
167,4,Uatuamã,2021,1787.0,Não-Antrópico
168,4,Xingú,2008,115310068.0,Não-Antrópico
169,4,Xingú,2021,129148867.0,Não-Antrópico
170,5,Itabapoana,2008,297042.0,Não-Antrópico
171,5,Itabapoana,2021,156864.0,Não-Antrópico
172,5,Jequitinhonha,2008,400294.0,Não-Antrópico
173,5,Jequitinhonha,2021,210909.0,Não-Antrópico
174,5,Mucuri,2008,993809.0,Não-Antrópico
175,5,Mucuri,2021,1013378.0,Não-Antrópico
176,5,Paraguaçu,2008,6304252.0,Não-Antrópico
177,5,Paraguaçu,2021,6705571.0,Não-Antrópico
178,5,Paraíba do Sul,2008,577058.0,Não-Antrópico
179,5,Paraíba do Sul,2021,641175.0,Não-Antrópico
180,5,Parnaíba,2008,19380519.0,Não-Antrópico
181,5,Parnaíba,2021,19501056.0,Não-Antrópico
182,5,Tietê,2008,400294.0,Não-Antrópico
183,9,Antas,2008,1420955.0,Antrópico
184,9,Antas,2021,2798680.0,Antrópico
185,9,Araguari,2008,460361.0,Antrópico
186,9,Araguari,2021,445167.0,Antrópico
187,9,Capivari,2008,28379.0,Antrópico
188,9,Capivari,2021,287015.0,Antrópico
189,9,Doce,2008,698398.0,Antrópico
190,9,Doce,2021,1383139.0,Antrópico
191,9,Grande,2008,434283.0,Antrópico
192,9,Grande,2021,1281349.0,Antrópico
193,9,Iguaçu,2008,7695959.0,Antrópico
194,9,Iguaçu,2021,16854332.0,Antrópico
195,9,Itabapoana,2008,554154.0,Antrópico
196,9,Itabapoana,2021,13382.0,Antrópico
197,9,Itajaí-Açú,2008,529050.0,Antrópico
198,9,Itajaí-Açú,2021,1431420.0,Antrópico
199,9,Itiquira,2021,2116397.0,Antrópico
200,9,Jacuí,2008,1644301.0,Antrópico
201,9,Jacuí,2021,2116397.0,Antrópico
202,9,Jari,2008,129619.0,Antrópico
203,9,Jari,2021,138557.0,Antrópico
204,9,Jequitinhonha,2008,56451.0,Antrópico
205,9,Jequitinhonha,2021,335001.0,Antrópico
206,9,Madeira,2008,19050.0,Antrópico
207,9,Madeira,2021,40694.0,Antrópico
208,9,Manso,2021,12973.0,Antrópico
209,9,Mucuri,2008,68928.0,Antrópico
210,9,Mucuri,2021,499413.0,Antrópico
211,9,Paranapanema,2008,16837667.0,Antrópico
212,9,Paranapanema,2021,9728149.0,Antrópico
213,9,Paranaíba,2008,806612.0,Antrópico
214,9,Paranaíba,2021,828764.0,Antrópico
215,9,Paraná,2008,1047805.0,Antrópico
216,9,Paraná,2021,3389343.0,Antrópico
217,9,Paraíba do Sul,2008,177741.0,Antrópico
218,9,Paraíba do Sul,2021,1136104.0,Antrópico
219,9,Parnaíba,2008,111353.0,Antrópico
220,9,Parnaíba,2021,473927.0,Antrópico
221,9,São Francisco,2008,485775.0,Antrópico
222,9,São Francisco,2021,2207657.0,Antrópico
223,9,Tapajós,2008,7858.0,Antrópico
224,9,Tapajós,2021,44535.0,Antrópico
225,9,Tietê,2008,56451.0,Antrópico
226,9,Tietê,2021,2036297.0,Antrópico
227,9,Tocantins,2021,1511345.0,Antrópico
228,9,Uruguai,2008,19432184.0,Antrópico
229,9,Uruguai,2021,35049107.0,Antrópico
230,9,Xingú,2008,81302.0,Antrópico
231,9,Xingú,2021,140793.0,Antrópico
232,11,Antas,2008,10941.0,Não-Antrópico
233,11,Araguari,2008,20977651.0,Não-Antrópico
234,11,Araguari,2021,13800469.0,Não-Antrópico
235,11,Capivari,2008,30788.0,Não-Antrópico
236,11,Capivari,2021,20255.0,Não-Antrópico
237,11,Correntes,2008,9791417.0,Não-Antrópico
238,11,Correntes,2021,11508749.0,Não-Antrópico
239,11,Curruá Una,2008,5482383.0,Não-Antrópico
240,11,Curruá Una,2021,6654357.0,Não-Antrópico
241,11,Doce,2008,5350945.0,Não-Antrópico
242,11,Doce,2021,5335465.0,Não-Antrópico
243,11,Grande,2008,79368228.0,Não-Antrópico
244,11,Grande,2021,116206576.0,Não-Antrópico
245,11,Iguaçu,2008,25531543.0,Não-Antrópico
246,11,Iguaçu,2021,21821714.0,Não-Antrópico
247,11,Itabapoana,2008,11759265.0,Não-Antrópico
248,11,Itabapoana,2021,6813099.0,Não-Antrópico
249,11,Itajaí-Açú,2008,29541.0,Não-Antrópico
250,11,Itajaí-Açú,2021,5590.0,Não-Antrópico
251,11,Itiquira,2008,1229674.0,Não-Antrópico
252,11,Itiquira,2021,955282.0,Não-Antrópico
253,11,Jacuí,2008,1037601.0,Não-Antrópico
254,11,Jacuí,2021,955282.0,Não-Antrópico
255,11,Jari,2008,14978209.0,Não-Antrópico
256,11,Jari,2021,22287508.0,Não-Antrópico
257,11,Jauru,2008,847389.0,Não-Antrópico
258,11,Jauru,2021,41478.0,Não-Antrópico
259,11,Jequitinhonha,2008,9071127.0,Não-Antrópico
260,11,Jequitinhonha,2021,22949816.0,Não-Antrópico
261,11,Madeira,2008,1008981026.0,Não-Antrópico
262,11,Madeira,2021,525356913.0,Não-Antrópico
